run_id,generation,fitness_mean,wall_ms_elapsed,learning_rate_mean,alive_mean
TB-30/R0/seed_1,0,-0.5924999713897705,0,0.0,0.30000001192092896
TB-30/R0/seed_1,1,-0.6424999833106995,0,0.0,0.20000000298023224
TB-30/R0/seed_1,2,-0.6924999952316284,0,0.0,0.3499999940395355
TB-30/R0/seed_1,3,-0.6279999613761902,0,0.0,0.30000001192092896
TB-30/R0/seed_1,4,-0.7124999761581421,0,0.0,0.10000000149011612
TB-30/R0/seed_1,5,-0.7124999761581421,0,0.0,0.20000000298023224
TB-30/R0/seed_1,6,-0.6794999837875366,0,0.0,0.30000001192092896
TB-30/R0/seed_1,7,-0.5879999399185181,0,0.0,0.3499999940395355
TB-30/R0/seed_1,8,-0.7149999141693115,0,0.0,0.20000000298023224
TB-30/R0/seed_1,9,-0.7299998998641968,1,0.0,0.20000000298023224
TB-30/R0/seed_1,10,-0.6694999933242798,1,0.0,0.20000000298023224
TB-30/R0/seed_1,11,-0.6430000066757202,1,0.0,0.20000000298023224
TB-30/R0/seed_1,12,-0.6649999618530273,1,0.0,0.30000001192092896
TB-30/R0/seed_1,13,-0.6125000715255737,1,0.0,0.4000000059604645
TB-30/R0/seed_1,14,-0.6174999475479126,1,0.0,0.20000000298023224
TB-30/R0/seed_1,15,-0.7240000367164612,1,0.0,0.10000000149011612
TB-30/R0/seed_1,16,-0.7299999594688416,1,0.0,0.20000000298023224
TB-30/R0/seed_1,17,-0.6574999690055847,1,0.0,0.25
TB-30/R0/seed_1,18,-0.7275000214576721,2,0.0,0.30000001192092896
TB-30/R0/seed_1,19,-0.47499990463256836,2,0.0,0.4000000059604645
TB-30/R0/seed_1,20,-0.6149998903274536,2,0.0,0.30000001192092896
TB-30/R0/seed_1,21,-0.6449999213218689,2,0.0,0.30000001192092896
TB-30/R0/seed_1,22,-0.6979999542236328,2,0.0,0.25
TB-30/R0/seed_1,23,-0.6399999260902405,2,0.0,0.30000001192092896
TB-30/R0/seed_1,24,-0.6524999737739563,2,0.0,0.25
TB-30/R0/seed_1,25,-0.6729999780654907,2,0.0,0.30000001192092896
TB-30/R0/seed_1,26,-0.6994999647140503,2,0.0,0.20000000298023224
TB-30/R0/seed_1,27,-0.7050000429153442,3,0.0,0.25
TB-30/R0/seed_1,28,-0.6879999041557312,3,0.0,0.20000000298023224
TB-30/R0/seed_1,29,-0.5874999761581421,3,0.0,0.44999998807907104
TB-30/R0/seed_1,30,-0.7450000643730164,3,0.0,0.10000000149011612
TB-30/R0/seed_1,31,-0.6939998865127563,3,0.0,0.25
TB-30/R0/seed_1,32,-0.6300000548362732,3,0.0,0.4000000059604645
TB-30/R0/seed_1,33,-0.6474999785423279,3,0.0,0.30000001192092896
TB-30/R0/seed_1,34,-0.6209998726844788,3,0.0,0.3499999940395355
TB-30/R0/seed_1,35,-0.6725000143051147,3,0.0,0.15000000596046448
TB-30/R0/seed_1,36,-0.6649999618530273,3,0.0,0.4000000059604645
TB-30/R0/seed_1,37,-0.6179999113082886,4,0.0,0.30000001192092896
TB-30/R0/seed_1,38,-0.7055000066757202,4,0.0,0.25
TB-30/R0/seed_1,39,-0.6779999136924744,4,0.0,0.20000000298023224
