run_id,generation,fitness_mean,wall_ms_elapsed,learning_rate_mean,alive_mean
TB-60/C/seed_1,0,-0.8135002851486206,0,0.010000000707805157,0.0
TB-60/C/seed_1,1,-0.7760002613067627,0,0.010000000707805157,0.05000000074505806
TB-60/C/seed_1,2,-0.7580003142356873,0,0.010000000707805157,0.10000000149011612
TB-60/C/seed_1,3,-0.7970002889633179,0,0.009871943853795528,0.10000000149011612
TB-60/C/seed_1,4,-0.7635003328323364,0,0.009934360161423683,0.10000000149011612
TB-60/C/seed_1,5,-0.7665002942085266,1,0.009649815037846565,0.15000000596046448
TB-60/C/seed_1,6,-0.7955003380775452,1,0.009457306936383247,0.05000000074505806
TB-60/C/seed_1,7,-0.7410002946853638,1,0.009715703316032887,0.20000000298023224
TB-60/C/seed_1,8,-0.7850002646446228,1,0.0099269924685359,0.10000000149011612
TB-60/C/seed_1,9,-0.7795001864433289,1,0.010822623036801815,0.10000000149011612
TB-60/C/seed_1,10,-0.7660003900527954,1,0.011359183117747307,0.10000000149011612
TB-60/C/seed_1,11,-0.6125000715255737,2,0.012307137250900269,0.30000001192092896
TB-60/C/seed_1,12,-0.7245001792907715,2,0.010029175318777561,0.15000000596046448
TB-60/C/seed_1,13,-0.6455001831054688,2,0.012255088426172733,0.3499999940395355
TB-60/C/seed_1,14,-0.7395002245903015,2,0.01273954939097166,0.15000000596046448
TB-60/C/seed_1,15,-0.7090002298355103,2,0.013955118134617805,0.30000001192092896
TB-60/C/seed_1,16,-0.6465001702308655,2,0.015258911065757275,0.3499999940395355
TB-60/C/seed_1,17,-0.7475001811981201,2,0.016480520367622375,0.15000000596046448
TB-60/C/seed_1,18,-0.741000235080719,2,0.014337264001369476,0.10000000149011612
TB-60/C/seed_1,19,-0.6470001935958862,2,0.014791605062782764,0.3499999940395355
TB-60/C/seed_1,20,-0.5929999947547913,3,0.014913082122802734,0.3499999940395355
