run_id,generation,fitness_mean,wall_ms_elapsed,learning_rate_mean,alive_mean
TB-60/B/seed_1,0,-0.8135002851486206,0,0.010000000707805157,0.0
TB-60/B/seed_1,1,-0.7775002717971802,0,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,2,-0.7885003089904785,0,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,3,-0.803000271320343,0,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,4,-0.7995002865791321,0,0.010000000707805157,0.0
TB-60/B/seed_1,5,-0.8025003671646118,0,0.010000000707805157,0.0
TB-60/B/seed_1,6,-0.7960003018379211,1,0.010000000707805157,0.0
TB-60/B/seed_1,7,-0.7950003147125244,1,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,8,-0.7950003743171692,1,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,9,-0.7945003509521484,1,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,10,-0.8045002818107605,1,0.010000000707805157,0.0
TB-60/B/seed_1,11,-0.7910003066062927,1,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,12,-0.7810003757476807,2,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,13,-0.8070003390312195,2,0.010000000707805157,0.0
TB-60/B/seed_1,14,-0.8045002818107605,2,0.010000000707805157,0.0
TB-60/B/seed_1,15,-0.8100003004074097,2,0.010000000707805157,0.0
TB-60/B/seed_1,16,-0.8140003085136414,2,0.010000000707805157,0.0
TB-60/B/seed_1,17,-0.8090003132820129,2,0.010000000707805157,0.0
TB-60/B/seed_1,18,-0.8020003437995911,2,0.010000000707805157,0.0
TB-60/B/seed_1,19,-0.7915002703666687,3,0.010000000707805157,0.0
TB-60/B/seed_1,20,-0.7985003590583801,3,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,21,-0.8060003519058228,3,0.010000000707805157,0.0
TB-60/B/seed_1,22,-0.8065003156661987,3,0.010000000707805157,0.0
TB-60/B/seed_1,23,-0.7990003824234009,3,0.010000000707805157,0.0
TB-60/B/seed_1,24,-0.7985003590583801,3,0.010000000707805157,0.0
TB-60/B/seed_1,25,-0.7985003590583801,4,0.010000000707805157,0.0
TB-60/B/seed_1,26,-0.7985003590583801,4,0.010000000707805157,0.0
TB-60/B/seed_1,27,-0.8065003156661987,4,0.010000000707805157,0.0
TB-60/B/seed_1,28,-0.8185003399848938,4,0.010000000707805157,0.0
TB-60/B/seed_1,29,-0.7830003499984741,4,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,30,-0.8145003318786621,4,0.010000000707805157,0.0
TB-60/B/seed_1,31,-0.8020003437995911,4,0.010000000707805157,0.0
TB-60/B/seed_1,32,-0.7770003080368042,5,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,33,-0.8025002479553223,5,0.010000000707805157,0.0
TB-60/B/seed_1,34,-0.7985002994537354,5,0.010000000707805157,0.0
TB-60/B/seed_1,35,-0.8060003519058228,5,0.010000000707805157,0.0
TB-60/B/seed_1,36,-0.803000271320343,5,0.010000000707805157,0.0
TB-60/B/seed_1,37,-0.7985004186630249,5,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,38,-0.8025003671646118,5,0.010000000707805157,0.0
TB-60/B/seed_1,39,-0.8105003237724304,5,0.010000000707805157,0.0
TB-60/B/seed_1,40,-0.7865003347396851,5,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,41,-0.7905003428459167,5,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,42,-0.7835003137588501,5,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,43,-0.7950003147125244,6,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,44,-0.7865003347396851,6,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,45,-0.8140003085136414,6,0.010000000707805157,0.0
TB-60/B/seed_1,46,-0.8100003004074097,6,0.010000000707805157,0.0
TB-60/B/seed_1,47,-0.8100003004074097,6,0.010000000707805157,0.0
TB-60/B/seed_1,48,-0.7945004105567932,6,0.010000000707805157,0.0
TB-60/B/seed_1,49,-0.7985004186630249,6,0.010000000707805157,0.0
TB-60/B/seed_1,50,-0.8020003437995911,6,0.010000000707805157,0.0
TB-60/B/seed_1,51,-0.8100003004074097,6,0.010000000707805157,0.0
TB-60/B/seed_1,52,-0.8025003671646118,6,0.010000000707805157,0.0
TB-60/B/seed_1,53,-0.8065003156661987,7,0.010000000707805157,0.0
TB-60/B/seed_1,54,-0.7905003428459167,7,0.010000000707805157,0.0
TB-60/B/seed_1,55,-0.8135002851486206,7,0.010000000707805157,0.0
TB-60/B/seed_1,56,-0.8020003437995911,7,0.010000000707805157,0.0
TB-60/B/seed_1,57,-0.7945003509521484,7,0.010000000707805157,0.0
TB-60/B/seed_1,58,-0.8090003132820129,7,0.010000000707805157,0.0
TB-60/B/seed_1,59,-0.7950003743171692,7,0.010000000707805157,0.0
TB-60/B/seed_1,60,-0.803000271320343,7,0.010000000707805157,0.0
TB-60/B/seed_1,61,-0.8020003437995911,7,0.010000000707805157,0.0
TB-60/B/seed_1,62,-0.7835003137588501,7,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,63,-0.8100003004074097,8,0.010000000707805157,0.0
TB-60/B/seed_1,64,-0.7955003380775452,8,0.010000000707805157,0.0
TB-60/B/seed_1,65,-0.771500289440155,8,0.010000000707805157,0.10000000149011612
TB-60/B/seed_1,66,-0.8105003237724304,8,0.010000000707805157,0.0
TB-60/B/seed_1,67,-0.771500289440155,8,0.010000000707805157,0.05000000074505806
TB-60/B/seed_1,68,-0.8065003156661987,8,0.010000000707805157,0.0
