run_id,generation,fitness_mean,wall_ms_elapsed,learning_rate_mean,alive_mean
TB-60/A/seed_1,0,-0.8020003437995911,0,0.0,0.05000000074505806
TB-60/A/seed_1,1,-0.7380002737045288,0,0.0,0.15000000596046448
TB-60/A/seed_1,2,-0.7430002689361572,0,0.0,0.15000000596046448
TB-60/A/seed_1,3,-0.7425001263618469,0,0.0,0.10000000149011612
TB-60/A/seed_1,4,-0.7255001068115234,0,0.0004103352839592844,0.15000000596046448
TB-60/A/seed_1,5,-0.7120001912117004,0,0.0012762058759108186,0.25
TB-60/A/seed_1,6,-0.722500205039978,1,0.004309162497520447,0.25
TB-60/A/seed_1,7,-0.7470000982284546,1,0.0035051789600402117,0.25
TB-60/A/seed_1,8,-0.7085002064704895,1,0.0033395285718142986,0.20000000298023224
TB-60/A/seed_1,9,-0.6595001816749573,1,0.004717620089650154,0.3499999940395355
TB-60/A/seed_1,10,-0.5655000805854797,1,0.0021826117299497128,0.44999998807907104
