method,mean_logprob,std_logprob,mean_wall_ms,std_wall_ms,mean_distinct_1,mean_distinct_2,mean_token_evals,win_rate_vs_ar,n
ar,-1.114644079527352,0.1725218693757524,299.30064774998755,147.48392122710277,0.64453125,0.9047619047619048,64.0,1.0,4
bon,-0.7534745101729641,0.0998308592184246,1993.404830999907,75.05248549214805,0.6015625,0.8690476190476191,512.0,1.0,4
mae,-0.7005684786563506,0.07867767106212059,11430.885929999931,421.5187574470609,0.62109375,0.873015873015873,3072.0,1.0,4
